Note ID,Created,Action Needed,Related Task,GC Response
gc-note-1,2026-01-20,Who installs the doors? Need assignee for Install Doors task.,install-doors,
gc-note-2,2026-01-20,What are the dependencies for Inspection? What needs to be complete before inspections can be scheduled?,inspection,
gc-note-3,2026-01-20,"Request schedule for back deck work. Also need meeting with owner to plan - need dimensions, rail system decision, materials.",build-back-deck,
gc-note-5,2026-01-20,"Who moves range, freezers and refrigerators for Kitchen Put-Back?",kitchen-put-back,
gc-note-6,2026-01-20,Who installs ovens?,kitchen-put-back,
gc-note-7,2026-01-20,Who installs pot rack?,misc-equipment-install,
gc-note-8,2026-01-20,Who installs upper cabinets? Need assignee for Upper Cabinet Install task.,upper-cabinet-install,
gc-note-9,2026-01-20,Who is responsible for cleaning/prep before Crest arrives on 1/27?,crest-prep,
gc-note-10,2026-01-20,Should we schedule an MEP coordination meeting before Crest install on 1/27?,crest-installation,
